#Id/mA  IP/µA                       bei 36,5°C
0       0.2
10      1.1
20      2.2
40      5.6
60      10.7
80      18.1
100     28.9
120     43.9
140     67.5
160     105.9
180     975
200     2640
220     4410
240     6130
260     8040
280     9850
300     11650
320     13540
340     15390
360     17250
380     19000
400     20800
500     29700
600     38000
608     38600
