[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:9"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,6264
Overall Drift (nm/s),299.97
X-Drift (nm/s),-273.37
Y-Drift (nm/s),123.48
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),249.00
Mean (E4 nm^2/s),377.60
Standard Deviation (E4 nm^2/s),193.78

User Line 1,354
User Line 2,0
Average # centres/frame,98.47
Average # particles/frame,81.00
Equivalent particle concentration (E8 particles/ml),12.17
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,22
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),24.00
Viscosity (cP),0.909

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
276,3.8270,,
277,3.8105,,
278,3.7937,,
279,3.7766,,
280,3.7593,,
281,3.7417,,
282,3.7238,,
283,3.7056,,
284,3.6872,,
285,3.6686,,
286,3.6497,,
287,3.6306,,
288,3.6112,,
289,3.5917,,
290,3.5719,,
291,3.5520,,
292,3.5318,,
293,3.5115,,
294,3.4912,,
295,3.4707,,
296,3.4501,,
297,3.4296,,
298,3.4089,,
299,3.3883,,
300,3.3678,,
301,3.3473,,
302,3.3269,,
303,3.3066,,
304,3.2866,,
305,3.2667,,
306,3.2470,,
307,3.2276,,
308,3.2085,,
309,3.1897,,
310,3.1712,,
311,3.1530,,
312,3.1352,,
313,3.1179,,
314,3.1008,,
315,3.0842,,
316,3.0680,,
317,3.0522,,
318,3.0369,,
319,3.0219,,
320,3.0074,,
321,2.9932,,
322,2.9795,,
323,2.9661,,
324,2.9532,,
325,2.9405,,
326,2.9282,,
327,2.9163,,
328,2.9047,,
329,2.8934,,
330,2.8823,,
331,2.8714,,
332,2.8609,,
333,2.8505,,
334,2.8403,,
335,2.8303,,
336,2.8205,,
337,2.8108,,
338,2.8012,,
339,2.7917,,
340,2.7823,,
341,2.7729,,
342,2.7636,,
343,2.7544,,
344,2.7451,,
345,2.7359,,
346,2.7267,,
347,2.7175,,
348,2.7082,,
349,2.6990,,
350,2.6896,,
351,2.6803,,
352,2.6709,,
353,2.6615,,
354,2.6520,,
355,2.6424,,
356,2.6328,,
357,2.6231,,
358,2.6134,,
359,2.6036,,
360,2.5937,,
361,2.5837,,
362,2.5737,,
363,2.5636,,
364,2.5534,,
365,2.5431,,
366,2.5328,,
367,2.5224,,
368,2.5119,,
369,2.5013,,
370,2.4907,,
371,2.4800,,
372,2.4692,,
373,2.4583,,
374,2.4474,,
375,2.4364,,
376,2.4254,,
377,2.4142,,
378,2.4030,,
379,2.3918,,
380,2.3805,,
381,2.3691,,
382,2.3577,,
383,2.3462,,
384,2.3347,,
385,2.3232,,
386,2.3115,,
387,2.2999,,
388,2.2881,,
389,2.2764,,
390,2.2646,,
391,2.2528,,
392,2.2409,,
393,2.2291,,
394,2.2172,,
395,2.2053,,
396,2.1934,,
397,2.1814,,
398,2.1695,,
399,2.1575,,
400,2.1455,,
401,2.1336,,
402,2.1216,,
403,2.1096,,
404,2.0977,,
405,2.0857,,
406,2.0738,,
407,2.0619,,
408,2.0500,,
409,2.0381,,
410,2.0263,,
411,2.0145,,
412,2.0027,,
413,1.9910,,
414,1.9793,,
415,1.9676,,
416,1.9560,,
417,1.9444,,
418,1.9329,,
419,1.9214,,
420,1.9099,,
421,1.8985,,
422,1.8871,,
423,1.8759,,
424,1.8646,,
425,1.8534,,
426,1.8423,,
427,1.8312,,
428,1.8202,,
429,1.8092,,
430,1.7983,,
431,1.7875,,
432,1.7767,,
433,1.7660,,
434,1.7553,,
435,1.7447,,
436,1.7342,,
437,1.7238,,
438,1.7133,,
439,1.7030,,
440,1.6927,,
441,1.6825,,
442,1.6724,,
443,1.6623,,
444,1.6523,,
445,1.6423,,
446,1.6324,,
447,1.6226,,
448,1.6129,,
449,1.6032,,
450,1.5936,,
451,1.5840,,
452,1.5746,,
453,1.5652,,
454,1.5558,,
455,1.5466,,
456,1.5374,,
457,1.5283,,
458,1.5193,,
459,1.5103,,
460,1.5015,,
461,1.4927,,
462,1.4840,,
463,1.4753,,
464,1.4668,,
465,1.4583,,
466,1.4500,,
467,1.4417,,
468,1.4335,,
469,1.4253,,
470,1.4173,,
471,1.4094,,
472,1.4015,,
473,1.3938,,
474,1.3861,,
475,1.3785,,
476,1.3710,,
477,1.3636,,
478,1.3563,,
479,1.3491,,
480,1.3420,,
481,1.3349,,
482,1.3280,,
483,1.3211,,
484,1.3143,,
485,1.3076,,
486,1.3010,,
487,1.2944,,
488,1.2880,,
489,1.2816,,
490,1.2753,,
491,1.2691,,
492,1.2630,,
493,1.2569,,
494,1.2509,,
495,1.2450,,
496,1.2392,,
497,1.2334,,
498,1.2277,,
499,1.2220,,
500,1.2165,,
501,1.2109,,
502,1.2055,,
503,1.2001,,
504,1.1947,,
505,1.1894,,
506,1.1842,,
507,1.1790,,
508,1.1739,,
509,1.1688,,
510,1.1637,,
511,1.1587,,
512,1.1538,,
513,1.1489,,
514,1.1440,,
515,1.1392,,
516,1.1344,,
517,1.1296,,
518,1.1249,,
519,1.1203,,
520,1.1156,,
521,1.1110,,
522,1.1064,,
523,1.1019,,
524,1.0974,,
525,1.0929,,
526,1.0885,,
527,1.0841,,
528,1.0797,,
529,1.0753,,
530,1.0710,,
531,1.0667,,
532,1.0625,,
533,1.0582,,
534,1.0540,,
535,1.0498,,
536,1.0457,,
537,1.0415,,
538,1.0374,,
539,1.0333,,
540,1.0293,,
541,1.0252,,
542,1.0212,,
543,1.0172,,
544,1.0133,,
545,1.0093,,
546,1.0054,,
547,1.0015,,
548,0.9976,,
549,0.9938,,
550,0.9899,,
551,0.9861,,
552,0.9823,,
553,0.9786,,
554,0.9748,,
555,0.9711,,
556,0.9674,,
557,0.9637,,
558,0.9600,,
559,0.9563,,
560,0.9527,,
561,0.9491,,
562,0.9454,,
563,0.9418,,
564,0.9383,,
565,0.9347,,
566,0.9311,,
567,0.9276,,
568,0.9241,,
569,0.9206,,
570,0.9171,,
571,0.9136,,
572,0.9101,,
573,0.9066,,
574,0.9031,,
575,0.8997,,
576,0.8962,,
577,0.8928,,
578,0.8894,,
579,0.8859,,
580,0.8825,,
581,0.8791,,
582,0.8757,,
583,0.8722,,
584,0.8688,,
585,0.8654,,
586,0.8620,,
587,0.8586,,
588,0.8552,,
589,0.8518,,
590,0.8483,,
591,0.8449,,
592,0.8415,,
593,0.8381,,
594,0.8346,,
595,0.8312,,
596,0.8278,,
597,0.8243,,
598,0.8209,,
599,0.8174,,
600,0.8139,,
601,0.8104,,
602,0.8070,,
603,0.8035,,
604,0.7999,,
605,0.7964,,
606,0.7929,,
607,0.7894,,
608,0.7858,,
609,0.7822,,
610,0.7787,,
611,0.7751,,
612,0.7715,,
613,0.7679,,
614,0.7642,,
615,0.7606,,
616,0.7570,,
617,0.7533,,
618,0.7496,,
619,0.7459,,
620,0.7422,,
621,0.7385,,
622,0.7348,,
623,0.7310,,
624,0.7273,,
625,0.7235,,
626,0.7198,,
627,0.7160,,
628,0.7122,,
629,0.7084,,
630,0.7046,,
631,0.7007,,
632,0.6969,,
633,0.6930,,
634,0.6892,,
635,0.6853,,
636,0.6814,,
637,0.6776,,
638,0.6737,,
639,0.6698,,
640,0.6659,,
641,0.6620,,
642,0.6581,,
643,0.6542,,
644,0.6503,,
645,0.6464,,
646,0.6425,,
647,0.6386,,
648,0.6347,,
649,0.6308,,
650,0.6269,,
651,0.6230,,
652,0.6191,,
653,0.6152,,
654,0.6113,,
655,0.6074,,
656,0.6036,,
657,0.5997,,
658,0.5959,,
659,0.5921,,
660,0.5882,,
661,0.5844,,
662,0.5806,,
663,0.5768,,
664,0.5731,,
665,0.5693,,
666,0.5656,,
667,0.5619,,
668,0.5582,,
669,0.5545,,
670,0.5508,,
671,0.5472,,
672,0.5435,,
673,0.5399,,
674,0.5364,,
675,0.5328,,
676,0.5293,,
677,0.5257,,
678,0.5223,,
679,0.5188,,
680,0.5153,,
681,0.5119,,
682,0.5085,,
683,0.5051,,
684,0.5018,,
685,0.4985,,
686,0.4952,,
687,0.4919,,
688,0.4887,,
689,0.4855,,
690,0.4823,,
691,0.4792,,
692,0.4760,,
693,0.4729,,
694,0.4698,,
695,0.4668,,
696,0.4638,,
697,0.4608,,
698,0.4578,,
699,0.4549,,
700,0.4520,,
701,0.4491,,
702,0.4463,,
703,0.4434,,
704,0.4406,,
705,0.4379,,
706,0.4351,,
707,0.4324,,
708,0.4297,,
709,0.4271,,
710,0.4244,,
711,0.4218,,
712,0.4192,,
713,0.4167,,
714,0.4141,,
715,0.4116,,
716,0.4092,,
717,0.4067,,
718,0.4043,,
719,0.4019,,
720,0.3995,,
721,0.3972,,
722,0.3948,,
723,0.3925,,
724,0.3903,,
725,0.3880,,
726,0.3858,,
727,0.3836,,
728,0.3814,,
729,0.3792,,
730,0.3771,,
731,0.3750,,
732,0.3729,,
733,0.3708,,
