[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:9"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,3494
Overall Drift (nm/s),78.97
X-Drift (nm/s),-44.71
Y-Drift (nm/s),65.10
Calibration (nm/pixel),166

Size Data - Volume Weighted,
Mode (nm),499.00
Mean (nm),592.55
Standard Deviation (nm),202.78
Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00

User Line 1,0
User Line 2,0
Average # centres/frame,97.28
Average # particles/frame,81.40
Equivalent particle concentration (E8 particles/ml),12.87
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,38
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.00
Camera Gain,250
Frame rate (fps),30.00
Temperature (°C),23.60
Viscosity (cP),0.918

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected <~10% error
Additional Errors,None

[Graph Data]
Particle Size (nm),Volume Concentration (E12 nm³ / ml),,
433,121.0090,,
434,121.6920,,
435,122.3778,,
436,123.0664,,
437,123.7590,,
438,124.4538,,
439,125.1507,,
440,125.8515,,
441,126.5525,,
442,127.2557,,
443,127.9607,,
444,128.6652,,
445,129.3699,,
446,130.0750,,
447,130.7778,,
448,131.4802,,
449,132.1803,,
450,132.8782,,
451,133.5732,,
452,134.2660,,
453,134.9527,,
454,135.6342,,
455,136.3105,,
456,136.9812,,
457,137.6448,,
458,138.3009,,
459,138.9495,,
460,139.5890,,
461,140.2197,,
462,140.8396,,
463,141.4492,,
464,142.0478,,
465,142.6346,,
466,143.2086,,
467,143.7702,,
468,144.3185,,
469,144.8521,,
470,145.3771,,
471,145.8816,,
472,146.3706,,
473,146.8437,,
474,147.3008,,
475,147.7410,,
476,148.1637,,
477,148.5687,,
478,148.9563,,
479,149.3260,,
480,149.6780,,
481,150.0112,,
482,150.3261,,
483,150.6226,,
484,150.9008,,
485,151.1598,,
486,151.4001,,
487,151.6232,,
488,151.8267,,
489,152.0122,,
490,152.1786,,
491,152.3266,,
492,152.4570,,
493,152.5695,,
494,152.6648,,
495,152.7424,,
496,152.8031,,
497,152.8467,,
498,152.8743,,
499,152.8863,,
500,152.8827,,
501,152.8629,,
502,152.8278,,
503,152.7792,,
504,152.7152,,
505,152.6376,,
506,152.5463,,
507,152.4415,,
508,152.3245,,
509,152.1950,,
510,152.0533,,
511,151.8998,,
512,151.7347,,
513,151.5595,,
514,151.3731,,
515,151.1759,,
516,150.9695,,
517,150.7535,,
518,150.5280,,
519,150.2930,,
520,150.0493,,
521,149.7968,,
522,149.5373,,
523,149.2682,,
524,148.9934,,
525,148.7088,,
526,148.4167,,
527,148.1178,,
528,147.8118,,
529,147.4978,,
530,147.1771,,
531,146.8490,,
532,146.5152,,
533,146.1741,,
534,145.8263,,
535,145.4723,,
536,145.1110,,
537,144.7431,,
538,144.3677,,
539,143.9856,,
540,143.5973,,
541,143.2029,,
542,142.8014,,
543,142.3921,,
544,141.9769,,
545,141.5556,,
546,141.1267,,
547,140.6901,,
548,140.2463,,
549,139.7961,,
550,139.3388,,
551,138.8747,,
552,138.4035,,
553,137.9241,,
554,137.4383,,
555,136.9481,,
556,136.4483,,
557,135.9407,,
558,135.4256,,
559,134.9032,,
560,134.3741,,
561,133.8374,,
562,133.2932,,
563,132.7445,,
564,132.1874,,
565,131.6231,,
566,131.0516,,
567,130.4731,,
568,129.8877,,
569,129.2962,,
570,128.6986,,
571,128.0945,,
572,127.4844,,
573,126.8683,,
574,126.2471,,
575,125.6202,,
576,124.9880,,
577,124.3496,,
578,123.7069,,
579,123.0603,,
580,122.4089,,
581,121.7531,,
582,121.0937,,
583,120.4307,,
584,119.7649,,
585,119.0957,,
586,118.4237,,
587,117.7498,,
588,117.0738,,
589,116.3958,,
590,115.7157,,
591,115.0351,,
592,114.3538,,
593,113.6695,,
594,112.9871,,
595,112.3042,,
596,111.6206,,
597,110.9386,,
598,110.2580,,
599,109.5776,,
600,108.8986,,
601,108.2218,,
602,107.5486,,
603,106.8772,,
604,106.2085,,
605,105.5412,,
606,104.8776,,
607,104.2170,,
608,103.5606,,
609,102.9075,,
610,102.2581,,
611,101.6127,,
612,100.9723,,
613,100.3374,,
614,99.7064,,
615,99.0807,,
616,98.4601,,
617,97.8451,,
618,97.2352,,
619,96.6292,,
620,96.0311,,
621,95.4386,,
622,94.8527,,
623,94.2720,,
624,93.6980,,
625,93.1304,,
626,92.5693,,
627,92.0153,,
628,91.4676,,
629,90.9260,,
