[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:19"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,2700
Processed Frames,2700
Valid Tracks,5452
Overall Drift (nm/s),627.88
X-Drift (nm/s),373.50
Y-Drift (nm/s),504.71
Calibration (nm/pixel),166

Size Data - Concentration Weighted,
Mode (nm),190.00
Mean (nm),161.77
Standard Deviation (nm),61.68
Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00

User Line 1,37
User Line 2,205
Average # centres/frame,75.47
Average # particles/frame,65.55
Equivalent particle concentration (E8 particles/ml),9.78
Selected average # particles/frame,49.36
Selected equivalent particle concentration (E8 particles/ml),7.37

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,26
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),8.00
Camera Gain,500
Frame rate (fps),30.00
Temperature (°C),24.00
Viscosity (cP),0.909

[Warnings]
Low Completed Tracks,No
High Noise,26 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected >~10% error
Additional Errors,None

[Graph Data]
Particle Size (nm),Concentration (E6 particles / ml),,
279,0.6678,,
280,0.6491,,
281,0.6313,,
282,0.6144,,
283,0.5982,,
284,0.5828,,
285,0.5681,,
286,0.5541,,
287,0.5407,,
288,0.5278,,
289,0.5154,,
290,0.5036,,
291,0.4921,,
292,0.4811,,
293,0.4704,,
294,0.4601,,
295,0.4501,,
296,0.4403,,
297,0.4308,,
298,0.4215,,
299,0.4124,,
300,0.4034,,
301,0.3947,,
302,0.3861,,
303,0.3776,,
304,0.3693,,
305,0.3611,,
306,0.3530,,
307,0.3449,,
308,0.3370,,
309,0.3292,,
310,0.3214,,
311,0.3138,,
312,0.3062,,
313,0.2987,,
314,0.2913,,
315,0.2839,,
316,0.2766,,
317,0.2695,,
318,0.2624,,
319,0.2554,,
320,0.2484,,
321,0.2416,,
322,0.2348,,
323,0.2282,,
324,0.2216,,
325,0.2151,,
326,0.2088,,
327,0.2025,,
328,0.1964,,
329,0.1904,,
330,0.1844,,
331,0.1786,,
332,0.1730,,
333,0.1674,,
334,0.1620,,
335,0.1567,,
336,0.1516,,
337,0.1465,,
338,0.1416,,
339,0.1369,,
340,0.1323,,
341,0.1278,,
342,0.1234,,
343,0.1192,,
344,0.1152,,
345,0.1112,,
346,0.1074,,
347,0.1038,,
348,0.1002,,
349,0.0968,,
350,0.0936,,
351,0.0904,,
352,0.0874,,
353,0.0845,,
354,0.0817,,
355,0.0790,,
356,0.0765,,
357,0.0740,,
358,0.0717,,
359,0.0694,,
360,0.0672,,
361,0.0652,,
362,0.0632,,
363,0.0613,,
364,0.0595,,
365,0.0577,,
366,0.0560,,
367,0.0544,,
368,0.0529,,
369,0.0514,,
370,0.0500,,
371,0.0486,,
372,0.0473,,
373,0.0460,,
374,0.0448,,
375,0.0436,,
376,0.0425,,
377,0.0414,,
378,0.0403,,
379,0.0393,,
380,0.0383,,
381,0.0373,,
382,0.0363,,
383,0.0354,,
384,0.0345,,
385,0.0337,,
386,0.0328,,
387,0.0320,,
388,0.0312,,
389,0.0305,,
390,0.0297,,
391,0.0290,,
392,0.0283,,
393,0.0276,,
394,0.0269,,
395,0.0262,,
396,0.0256,,
397,0.0250,,
398,0.0244,,
399,0.0238,,
400,0.0232,,
401,0.0227,,
402,0.0221,,
403,0.0216,,
404,0.0211,,
405,0.0206,,
406,0.0201,,
407,0.0196,,
408,0.0192,,
409,0.0188,,
410,0.0184,,
411,0.0180,,
412,0.0176,,
413,0.0172,,
414,0.0169,,
415,0.0165,,
416,0.0162,,
417,0.0159,,
418,0.0156,,
419,0.0153,,
420,0.0150,,
421,0.0148,,
422,0.0145,,
423,0.0143,,
424,0.0141,,
425,0.0139,,
426,0.0137,,
427,0.0135,,
428,0.0133,,
429,0.0131,,
430,0.0130,,
431,0.0128,,
432,0.0127,,
433,0.0125,,
434,0.0124,,
435,0.0123,,
436,0.0121,,
437,0.0120,,
438,0.0119,,
439,0.0118,,
440,0.0117,,
441,0.0116,,
442,0.0115,,
443,0.0114,,
444,0.0113,,
445,0.0112,,
446,0.0111,,
447,0.0111,,
448,0.0110,,
449,0.0109,,
450,0.0108,,
451,0.0107,,
452,0.0106,,
453,0.0105,,
454,0.0104,,
455,0.0103,,
456,0.0102,,
457,0.0101,,
458,0.0100,,
459,0.0099,,
460,0.0098,,
461,0.0097,,
462,0.0096,,
463,0.0095,,
464,0.0094,,
465,0.0092,,
466,0.0091,,
467,0.0090,,
468,0.0089,,
469,0.0087,,
470,0.0086,,
471,0.0085,,
472,0.0084,,
473,0.0082,,
474,0.0081,,
475,0.0080,,
476,0.0078,,
477,0.0077,,
478,0.0075,,
479,0.0074,,
480,0.0073,,
481,0.0071,,
482,0.0070,,
483,0.0069,,
484,0.0067,,
485,0.0066,,
486,0.0064,,
487,0.0063,,
488,0.0062,,
489,0.0061,,
490,0.0059,,
491,0.0058,,
492,0.0057,,
493,0.0055,,
494,0.0054,,
495,0.0053,,
496,0.0052,,
497,0.0051,,
498,0.0050,,
499,0.0048,,
500,0.0047,,
501,0.0046,,
502,0.0045,,
503,0.0044,,
504,0.0043,,
505,0.0042,,
506,0.0041,,
507,0.0040,,
508,0.0040,,
509,0.0039,,
510,0.0038,,
511,0.0037,,
512,0.0036,,
513,0.0035,,
514,0.0035,,
515,0.0034,,
516,0.0033,,
517,0.0033,,
518,0.0032,,
519,0.0031,,
520,0.0031,,
521,0.0030,,
522,0.0030,,
523,0.0029,,
524,0.0029,,
525,0.0028,,
526,0.0028,,
527,0.0027,,
528,0.0027,,
529,0.0026,,
530,0.0026,,
531,0.0025,,
532,0.0025,,
533,0.0024,,
534,0.0024,,
535,0.0024,,
536,0.0023,,
537,0.0023,,
538,0.0022,,
539,0.0022,,
540,0.0022,,
541,0.0021,,
542,0.0021,,
543,0.0021,,
544,0.0020,,
545,0.0020,,
546,0.0019,,
547,0.0019,,
548,0.0019,,
549,0.0018,,
550,0.0018,,
551,0.0018,,
552,0.0017,,
553,0.0017,,
554,0.0017,,
555,0.0016,,
556,0.0016,,
557,0.0016,,
558,0.0015,,
559,0.0015,,
560,0.0015,,
561,0.0014,,
562,0.0014,,
563,0.0014,,
564,0.0013,,
565,0.0013,,
566,0.0013,,
567,0.0012,,
568,0.0012,,
569,0.0012,,
570,0.0011,,
571,0.0011,,
572,0.0011,,
573,0.0010,,
574,0.0010,,
575,0.0010,,
576,0.0009,,
577,0.0009,,
578,0.0009,,
579,0.0008,,
580,0.0008,,
581,0.0008,,
582,0.0008,,
583,0.0007,,
584,0.0007,,
585,0.0007,,
586,0.0007,,
587,0.0006,,
588,0.0006,,
589,0.0006,,
590,0.0006,,
591,0.0005,,
592,0.0005,,
593,0.0005,,
594,0.0005,,
595,0.0004,,
596,0.0004,,
597,0.0004,,
598,0.0004,,
599,0.0004,,
600,0.0003,,
601,0.0003,,
602,0.0003,,
603,0.0003,,
604,0.0003,,
605,0.0003,,
606,0.0003,,
607,0.0002,,
608,0.0002,,
609,0.0002,,
610,0.0002,,
611,0.0002,,
612,0.0002,,
613,0.0002,,
614,0.0002,,
615,0.0001,,
616,0.0001,,
617,0.0001,,
618,0.0001,,
619,0.0001,,
620,0.0001,,
621,0.0001,,
622,0.0001,,
623,0.0001,,
624,0.0001,,
625,0.0001,,
626,0.0001,,
627,0.0001,,
628,0.0001,,
629,0.0001,,
630,0.0001,,
631,0.0001,,
632,0.0001,,
633,0.0000,,
634,0.0000,,
635,0.0000,,
636,0.0000,,
637,0.0000,,
638,0.0000,,
639,0.0000,,
640,0.0000,,
641,0.0000,,
642,0.0000,,
643,0.0000,,
644,0.0000,,
645,0.0000,,
646,0.0000,,
647,0.0000,,
648,0.0000,,
649,0.0000,,
650,0.0000,,
651,0.0000,,
652,0.0000,,
653,0.0000,,
654,0.0000,,
655,0.0000,,
656,0.0000,,
657,0.0000,,
658,0.0000,,
659,0.0000,,
660,0.0000,,
661,0.0000,,
662,0.0000,,
663,0.0000,,
664,0.0000,,
665,0.0000,,
666,0.0000,,
667,0.0000,,
668,0.0000,,
669,0.0000,,
670,0.0000,,
671,0.0000,,
672,0.0000,,
673,0.0000,,
674,0.0000,,
675,0.0000,,
676,0.0000,,
677,0.0000,,
678,0.0000,,
679,0.0001,,
680,0.0001,,
681,0.0001,,
682,0.0001,,
683,0.0001,,
684,0.0001,,
685,0.0001,,
686,0.0001,,
687,0.0001,,
688,0.0001,,
689,0.0001,,
690,0.0001,,
691,0.0001,,
692,0.0001,,
693,0.0001,,
694,0.0001,,
695,0.0001,,
696,0.0001,,
697,0.0001,,
698,0.0001,,
699,0.0001,,
700,0.0001,,
701,0.0001,,
702,0.0001,,
703,0.0001,,
704,0.0002,,
705,0.0002,,
706,0.0002,,
707,0.0002,,
708,0.0002,,
709,0.0002,,
710,0.0002,,
711,0.0002,,
712,0.0002,,
713,0.0002,,
714,0.0002,,
715,0.0002,,
716,0.0002,,
717,0.0003,,
718,0.0003,,
719,0.0003,,
720,0.0003,,
721,0.0003,,
722,0.0003,,
723,0.0003,,
724,0.0003,,
725,0.0003,,
726,0.0003,,
727,0.0004,,
728,0.0004,,
729,0.0004,,
730,0.0004,,
731,0.0004,,
732,0.0004,,
733,0.0004,,
734,0.0004,,
735,0.0005,,
736,0.0005,,
737,0.0005,,
738,0.0005,,
739,0.0005,,
740,0.0005,,
741,0.0006,,
742,0.0006,,
743,0.0006,,
744,0.0006,,
745,0.0006,,
746,0.0006,,
747,0.0007,,
748,0.0007,,
749,0.0007,,
750,0.0007,,
751,0.0007,,
752,0.0007,,
753,0.0008,,
754,0.0008,,
755,0.0008,,
756,0.0008,,
757,0.0008,,
758,0.0009,,
759,0.0009,,
760,0.0009,,
761,0.0009,,
762,0.0009,,
763,0.0010,,
764,0.0010,,
765,0.0010,,
766,0.0010,,
767,0.0010,,
768,0.0011,,
769,0.0011,,
770,0.0011,,
771,0.0011,,
772,0.0011,,
773,0.0012,,
774,0.0012,,
775,0.0012,,
776,0.0012,,
777,0.0012,,
778,0.0013,,
779,0.0013,,
780,0.0013,,
781,0.0013,,
782,0.0013,,
783,0.0014,,
784,0.0014,,
785,0.0014,,
786,0.0014,,
787,0.0014,,
788,0.0015,,
789,0.0015,,
790,0.0015,,
791,0.0015,,
792,0.0015,,
793,0.0015,,
794,0.0016,,
795,0.0016,,
796,0.0016,,
797,0.0016,,
798,0.0016,,
799,0.0016,,
800,0.0017,,
801,0.0017,,
802,0.0017,,
803,0.0017,,
804,0.0017,,
805,0.0017,,
806,0.0017,,
807,0.0017,,
808,0.0018,,
809,0.0018,,
810,0.0018,,
811,0.0018,,
812,0.0018,,
813,0.0018,,
814,0.0018,,
815,0.0018,,
816,0.0018,,
817,0.0018,,
818,0.0018,,
819,0.0018,,
820,0.0018,,
821,0.0019,,
822,0.0019,,
823,0.0019,,
824,0.0019,,
825,0.0019,,
826,0.0019,,
827,0.0019,,
828,0.0019,,
829,0.0019,,
830,0.0019,,
831,0.0019,,
832,0.0019,,
833,0.0019,,
834,0.0018,,
835,0.0018,,
836,0.0018,,
837,0.0018,,
838,0.0018,,
839,0.0018,,
840,0.0018,,
841,0.0018,,
842,0.0018,,
843,0.0018,,
844,0.0018,,
845,0.0018,,
846,0.0018,,
847,0.0017,,
848,0.0017,,
849,0.0017,,
850,0.0017,,
851,0.0017,,
852,0.0017,,
853,0.0017,,
854,0.0017,,
855,0.0016,,
856,0.0016,,
857,0.0016,,
858,0.0016,,
859,0.0016,,
860,0.0016,,
861,0.0015,,
862,0.0015,,
863,0.0015,,
864,0.0015,,
865,0.0015,,
866,0.0015,,
867,0.0014,,
868,0.0014,,
869,0.0014,,
870,0.0014,,
871,0.0014,,
872,0.0013,,
873,0.0013,,
874,0.0013,,
875,0.0013,,
876,0.0013,,
877,0.0012,,
878,0.0012,,
879,0.0012,,
880,0.0012,,
881,0.0012,,
882,0.0011,,
883,0.0011,,
884,0.0011,,
885,0.0011,,
886,0.0011,,
887,0.0010,,
888,0.0010,,
889,0.0010,,
890,0.0010,,
891,0.0010,,
892,0.0009,,
893,0.0009,,
894,0.0009,,
895,0.0009,,
896,0.0009,,
897,0.0008,,
898,0.0008,,
899,0.0008,,
900,0.0008,,
901,0.0008,,
902,0.0007,,
903,0.0007,,
904,0.0007,,
905,0.0007,,
906,0.0007,,
907,0.0007,,
908,0.0006,,
909,0.0006,,
910,0.0006,,
911,0.0006,,
912,0.0006,,
913,0.0006,,
914,0.0005,,
915,0.0005,,
916,0.0005,,
917,0.0005,,
918,0.0005,,
919,0.0005,,
920,0.0004,,
921,0.0004,,
922,0.0004,,
923,0.0004,,
924,0.0004,,
925,0.0004,,
926,0.0004,,
927,0.0004,,
928,0.0003,,
929,0.0003,,
930,0.0003,,
931,0.0003,,
932,0.0003,,
933,0.0003,,
934,0.0003,,
935,0.0003,,
936,0.0003,,
937,0.0003,,
938,0.0002,,
939,0.0002,,
940,0.0002,,
941,0.0002,,
942,0.0002,,
943,0.0002,,
944,0.0002,,
945,0.0002,,
946,0.0002,,
947,0.0002,,
948,0.0002,,
949,0.0002,,
950,0.0002,,
951,0.0001,,
952,0.0001,,
953,0.0001,,
954,0.0001,,
955,0.0001,,
956,0.0001,,
957,0.0001,,
958,0.0001,,
959,0.0001,,
960,0.0001,,
961,0.0001,,
962,0.0001,,
963,0.0001,,
964,0.0001,,
965,0.0001,,
966,0.0001,,
967,0.0001,,
968,0.0001,,
969,0.0001,,
970,0.0001,,
971,0.0001,,
972,0.0001,,
973,0.0001,,
974,0.0001,,
975,0.0001,,
976,0.0000,,
977,0.0000,,
978,0.0000,,
979,0.0000,,
980,0.0000,,
981,0.0000,,
982,0.0000,,
983,0.0000,,
984,0.0000,,
985,0.0000,,
986,0.0000,,
987,0.0000,,
988,0.0000,,
989,0.0000,,
990,0.0000,,
991,0.0000,,
992,0.0000,,
993,0.0000,,
994,0.0000,,
995,0.0000,,
996,0.0000,,
997,0.0000,,
998,0.0000,,
999,0.0000,,
1000,0.0000,,
1001,0.0000,,
1002,0.0000,,
1003,0.0000,,
1004,0.0000,,
1005,0.0000,,
1006,0.0000,,
1007,0.0000,,
1008,0.0000,,
1009,0.0000,,
1010,0.0000,,
1011,0.0000,,
1012,0.0000,,
1013,0.0000,,
1014,0.0000,,
1015,0.0000,,
1016,0.0000,,
1017,0.0000,,
1018,0.0000,,
1019,0.0000,,
1020,0.0000,,
1021,0.0000,,
1022,0.0000,,
1023,0.0000,,
1024,0.0000,,
1025,0.0000,,
1026,0.0000,,
1027,0.0000,,
1028,0.0000,,
1029,0.0000,,
1030,0.0000,,
1031,0.0000,,
1032,0.0000,,
1033,0.0000,,
1034,0.0000,,
1035,0.0000,,
1036,0.0000,,
1037,0.0000,,
1038,0.0000,,
1039,0.0000,,
1040,0.0000,,
1041,0.0000,,
1042,0.0000,,
1043,0.0000,,
1044,0.0000,,
1045,0.0000,,
1046,0.0000,,
1047,0.0000,,
1048,0.0000,,
1049,0.0000,,
1050,0.0000,,
1051,0.0000,,
1052,0.0000,,
1053,0.0000,,
1054,0.0000,,
1055,0.0000,,
1056,0.0000,,
1057,0.0000,,
1058,0.0000,,
1059,0.0000,,
1060,0.0000,,
1061,0.0000,,
1062,0.0000,,
1063,0.0000,,
1064,0.0000,,
1065,0.0000,,
1066,0.0000,,
1067,0.0000,,
1068,0.0000,,
1069,0.0000,,
1070,0.0000,,
1071,0.0000,,
1072,0.0000,,
1073,0.0000,,
1074,0.0000,,
1075,0.0000,,
1076,0.0000,,
1077,0.0000,,
1078,0.0000,,
1079,0.0000,,
1080,0.0000,,
1081,0.0000,,
1082,0.0000,,
1083,0.0000,,
1084,0.0000,,
1085,0.0000,,
1086,0.0000,,
1087,0.0000,,
1088,0.0000,,
1089,0.0000,,
1090,0.0000,,
1091,0.0000,,
1092,0.0000,,
1093,0.0000,,
1094,0.0000,,
1095,0.0000,,
1096,0.0000,,
1097,0.0000,,
1098,0.0000,,
1099,0.0000,,
1100,0.0000,,
1101,0.0000,,
1102,0.0000,,
1103,0.0000,,
1104,0.0000,,
1105,0.0000,,
1106,0.0000,,
1107,0.0000,,
1108,0.0000,,
1109,0.0000,,
1110,0.0000,,
1111,0.0000,,
1112,0.0000,,
1113,0.0000,,
1114,0.0000,,
1115,0.0000,,
1116,0.0000,,
1117,0.0000,,
1118,0.0000,,
1119,0.0000,,
1120,0.0000,,
1121,0.0000,,
1122,0.0000,,
1123,0.0000,,
1124,0.0000,,
1125,0.0000,,
1126,0.0000,,
1127,0.0000,,
1128,0.0000,,
1129,0.0000,,
1130,0.0000,,
1131,0.0000,,
1132,0.0000,,
1133,0.0000,,
1134,0.0000,,
1135,0.0000,,
1136,0.0000,,
1137,0.0000,,
1138,0.0000,,
1139,0.0000,,
1140,0.0000,,
1141,0.0000,,
1142,0.0000,,
1143,0.0000,,
1144,0.0000,,
1145,0.0000,,
1146,0.0000,,
1147,0.0000,,
1148,0.0000,,
1149,0.0000,,
1150,0.0000,,
1151,0.0000,,
1152,0.0000,,
1153,0.0000,,
1154,0.0000,,
1155,0.0000,,
1156,0.0000,,
1157,0.0000,,
1158,0.0000,,
1159,0.0000,,
1160,0.0000,,
1161,0.0000,,
1162,0.0000,,
1163,0.0000,,
1164,0.0000,,
1165,0.0000,,
1166,0.0000,,
1167,0.0000,,
1168,0.0000,,
1169,0.0000,,
1170,0.0000,,
1171,0.0000,,
1172,0.0000,,
1173,0.0000,,
1174,0.0000,,
1175,0.0000,,
1176,0.0000,,
1177,0.0000,,
1178,0.0000,,
1179,0.0000,,
1180,0.0000,,
1181,0.0000,,
1182,0.0000,,
1183,0.0000,,
1184,0.0000,,
1185,0.0000,,
1186,0.0000,,
1187,0.0000,,
1188,0.0000,,
1189,0.0000,,
1190,0.0000,,
1191,0.0000,,
1192,0.0000,,
1193,0.0000,,
1194,0.0000,,
1195,0.0000,,
1196,0.0000,,
1197,0.0000,,
1198,0.0000,,
1199,0.0000,,
1200,0.0000,,
1201,0.0000,,
1202,0.0000,,
1203,0.0000,,
1204,0.0000,,
1205,0.0000,,
1206,0.0000,,
1207,0.0000,,
1208,0.0000,,
1209,0.0000,,
1210,0.0000,,
1211,0.0000,,
1212,0.0000,,
1213,0.0000,,
1214,0.0000,,
1215,0.0000,,
1216,0.0000,,
1217,0.0000,,
1218,0.0000,,
1219,0.0000,,
1220,0.0000,,
1221,0.0000,,
1222,0.0000,,
1223,0.0000,,
1224,0.0000,,
1225,0.0000,,
1226,0.0000,,
1227,0.0000,,
1228,0.0000,,
1229,0.0000,,
1230,0.0000,,
1231,0.0000,,
1232,0.0000,,
1233,0.0000,,
1234,0.0000,,
1235,0.0000,,
1236,0.0000,,
1237,0.0000,,
1238,0.0000,,
1239,0.0000,,
1240,0.0000,,
1241,0.0000,,
1242,0.0000,,
1243,0.0000,,
1244,0.0000,,
1245,0.0000,,
1246,0.0000,,
1247,0.0000,,
1248,0.0000,,
1249,0.0000,,
1250,0.0000,,
1251,0.0000,,
1252,0.0000,,
1253,0.0000,,
1254,0.0000,,
1255,0.0000,,
1256,0.0000,,
1257,0.0000,,
1258,0.0000,,
1259,0.0000,,
1260,0.0000,,
1261,0.0000,,
1262,0.0000,,
1263,0.0000,,
1264,0.0000,,
1265,0.0000,,
1266,0.0000,,
1267,0.0000,,
1268,0.0000,,
1269,0.0000,,
1270,0.0000,,
1271,0.0000,,
1272,0.0000,,
1273,0.0000,,
1274,0.0000,,
1275,0.0000,,
1276,0.0000,,
1277,0.0000,,
1278,0.0000,,
1279,0.0000,,
1280,0.0000,,
1281,0.0000,,
1282,0.0000,,
1283,0.0000,,
1284,0.0000,,
1285,0.0000,,
1286,0.0000,,
1287,0.0000,,
1288,0.0000,,
1289,0.0000,,
1290,0.0000,,
1291,0.0000,,
1292,0.0000,,
1293,0.0000,,
1294,0.0000,,
1295,0.0000,,
1296,0.0000,,
1297,0.0000,,
1298,0.0000,,
1299,0.0000,,
1300,0.0000,,
1301,0.0000,,
1302,0.0000,,
1303,0.0000,,
1304,0.0000,,
1305,0.0000,,
1306,0.0000,,
1307,0.0000,,
1308,0.0000,,
1309,0.0000,,
1310,0.0000,,
1311,0.0000,,
1312,0.0000,,
1313,0.0000,,
1314,0.0000,,
1315,0.0000,,
1316,0.0000,,
1317,0.0000,,
1318,0.0000,,
1319,0.0000,,
1320,0.0000,,
1321,0.0000,,
1322,0.0000,,
1323,0.0000,,
1324,0.0000,,
1325,0.0000,,
1326,0.0000,,
1327,0.0000,,
1328,0.0000,,
1329,0.0000,,
1330,0.0000,,
1331,0.0000,,
1332,0.0000,,
1333,0.0000,,
1334,0.0000,,
1335,0.0000,,
1336,0.0000,,
1337,0.0000,,
1338,0.0000,,
1339,0.0000,,
1340,0.0000,,
1341,0.0000,,
1342,0.0000,,
1343,0.0000,,
1344,0.0000,,
1345,0.0000,,
1346,0.0000,,
1347,0.0000,,
1348,0.0000,,
1349,0.0000,,
1350,0.0000,,
1351,0.0000,,
1352,0.0000,,
1353,0.0000,,
1354,0.0000,,
1355,0.0000,,
1356,0.0000,,
1357,0.0000,,
1358,0.0000,,
1359,0.0000,,
1360,0.0000,,
1361,0.0000,,
1362,0.0000,,
