[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,""
Pre-treatmeant,""
Comments,"1ml Kaffee/9 ml dest. Wasser"

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,1971
Overall Drift (nm/s),311.31
X-Drift (nm/s),-2.62
Y-Drift (nm/s),-311.29
Calibration (nm/pixel),166

Size Data - Volume Weighted,
Mode (nm),428.00
Mean (nm),438.39
Standard Deviation (nm),212.67
Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00

User Line 1,0
User Line 2,0
Average # centres/frame,44.99
Average # particles/frame,33.55
Equivalent particle concentration (E8 particles/ml),5.08
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,31
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),6.44
Camera Gain,540
Frame rate (fps),30.00
Temperature (°C),23.30
Viscosity (cP),0.924

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected >~10% error
Additional Errors,None

[Graph Data]
Particle Size (nm),Volume Concentration (E12 nm³ / ml),,
431,13.1581,,
432,13.1354,,
433,13.1066,,
434,13.0714,,
435,13.0302,,
436,12.9828,,
437,12.9294,,
438,12.8701,,
439,12.8049,,
440,12.7340,,
441,12.6576,,
442,12.5758,,
443,12.4886,,
444,12.3965,,
445,12.2997,,
446,12.1984,,
447,12.0928,,
448,11.9832,,
449,11.8697,,
450,11.7525,,
451,11.6321,,
452,11.5087,,
453,11.3828,,
454,11.2543,,
455,11.1236,,
456,10.9913,,
457,10.8573,,
458,10.7223,,
459,10.5863,,
460,10.4495,,
461,10.3124,,
462,10.1754,,
463,10.0384,,
464,9.9018,,
465,9.7660,,
466,9.6310,,
467,9.4969,,
468,9.3647,,
469,9.2339,,
470,9.1049,,
471,8.9777,,
472,8.8527,,
473,8.7301,,
474,8.6098,,
475,8.4920,,
476,8.3768,,
477,8.2644,,
478,8.1547,,
479,8.0479,,
480,7.9440,,
481,7.8431,,
482,7.7452,,
483,7.6503,,
484,7.5584,,
485,7.4694,,
486,7.3835,,
487,7.3006,,
488,7.2205,,
489,7.1433,,
490,7.0689,,
491,6.9972,,
492,6.9283,,
493,6.8620,,
494,6.7981,,
495,6.7373,,
496,6.6782,,
497,6.6215,,
498,6.5669,,
499,6.5145,,
500,6.4639,,
501,6.4153,,
502,6.3685,,
503,6.3233,,
504,6.2798,,
505,6.2378,,
506,6.1971,,
507,6.1579,,
508,6.1199,,
