[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:4"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,4706
Overall Drift (nm/s),65.21
X-Drift (nm/s),-65.17
Y-Drift (nm/s),-2.22
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),231.00
Mean (E4 nm^2/s),545.69
Standard Deviation (E4 nm^2/s),310.71

User Line 1,0
User Line 2,0
Average # centres/frame,92.68
Average # particles/frame,67.91
Equivalent particle concentration (E8 particles/ml),11.03
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,32
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.14
Camera Gain,404
Frame rate (fps),30.00
Temperature (°C),24.60
Viscosity (cP),0.897

[Warnings]
Low Completed Tracks,No
High Noise,1 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected >~10% error
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
275,1.4271,,
276,1.4261,,
277,1.4250,,
278,1.4238,,
279,1.4224,,
280,1.4209,,
281,1.4192,,
282,1.4174,,
283,1.4155,,
284,1.4134,,
285,1.4113,,
286,1.4090,,
287,1.4066,,
288,1.4041,,
289,1.4017,,
290,1.3992,,
291,1.3967,,
292,1.3942,,
293,1.3917,,
294,1.3893,,
295,1.3870,,
296,1.3847,,
297,1.3825,,
298,1.3804,,
299,1.3785,,
300,1.3767,,
301,1.3750,,
302,1.3734,,
303,1.3720,,
304,1.3707,,
305,1.3696,,
306,1.3686,,
307,1.3677,,
308,1.3670,,
309,1.3665,,
310,1.3660,,
311,1.3657,,
312,1.3654,,
313,1.3653,,
314,1.3652,,
315,1.3652,,
316,1.3653,,
317,1.3654,,
318,1.3656,,
319,1.3657,,
320,1.3659,,
321,1.3660,,
322,1.3662,,
323,1.3663,,
324,1.3664,,
325,1.3664,,
326,1.3664,,
327,1.3663,,
328,1.3661,,
329,1.3658,,
330,1.3655,,
331,1.3651,,
332,1.3645,,
333,1.3639,,
334,1.3631,,
335,1.3622,,
336,1.3612,,
337,1.3601,,
338,1.3588,,
339,1.3575,,
340,1.3560,,
341,1.3544,,
342,1.3527,,
343,1.3509,,
344,1.3490,,
345,1.3470,,
346,1.3449,,
347,1.3427,,
348,1.3404,,
349,1.3380,,
350,1.3356,,
351,1.3331,,
352,1.3306,,
353,1.3281,,
354,1.3255,,
355,1.3229,,
356,1.3203,,
357,1.3177,,
358,1.3151,,
359,1.3126,,
360,1.3101,,
361,1.3076,,
362,1.3052,,
363,1.3029,,
364,1.3006,,
365,1.2984,,
366,1.2964,,
367,1.2944,,
368,1.2925,,
369,1.2908,,
370,1.2892,,
371,1.2877,,
372,1.2864,,
373,1.2852,,
374,1.2841,,
375,1.2833,,
376,1.2825,,
377,1.2820,,
378,1.2816,,
379,1.2813,,
380,1.2812,,
381,1.2813,,
382,1.2815,,
383,1.2819,,
384,1.2824,,
385,1.2832,,
386,1.2840,,
387,1.2851,,
388,1.2862,,
389,1.2876,,
390,1.2891,,
391,1.2907,,
392,1.2924,,
393,1.2943,,
394,1.2963,,
395,1.2985,,
396,1.3008,,
397,1.3032,,
398,1.3057,,
399,1.3084,,
400,1.3111,,
401,1.3140,,
402,1.3170,,
403,1.3200,,
404,1.3232,,
405,1.3265,,
406,1.3298,,
407,1.3333,,
408,1.3368,,
409,1.3405,,
410,1.3442,,
411,1.3480,,
412,1.3518,,
413,1.3558,,
414,1.3598,,
415,1.3639,,
416,1.3680,,
417,1.3722,,
418,1.3765,,
419,1.3808,,
420,1.3852,,
421,1.3896,,
422,1.3941,,
423,1.3986,,
424,1.4031,,
425,1.4076,,
426,1.4122,,
427,1.4168,,
428,1.4215,,
429,1.4261,,
430,1.4307,,
431,1.4354,,
432,1.4400,,
433,1.4447,,
434,1.4493,,
435,1.4539,,
436,1.4585,,
437,1.4631,,
438,1.4676,,
439,1.4721,,
440,1.4765,,
441,1.4809,,
442,1.4853,,
443,1.4896,,
444,1.4938,,
445,1.4979,,
446,1.5020,,
447,1.5060,,
448,1.5099,,
449,1.5137,,
450,1.5174,,
451,1.5211,,
452,1.5246,,
453,1.5280,,
454,1.5313,,
455,1.5344,,
456,1.5375,,
457,1.5404,,
458,1.5432,,
459,1.5458,,
460,1.5484,,
461,1.5507,,
462,1.5530,,
463,1.5551,,
464,1.5570,,
465,1.5588,,
466,1.5604,,
467,1.5619,,
468,1.5632,,
469,1.5643,,
470,1.5653,,
471,1.5661,,
472,1.5668,,
473,1.5673,,
474,1.5676,,
475,1.5678,,
476,1.5678,,
477,1.5677,,
478,1.5673,,
479,1.5669,,
480,1.5662,,
481,1.5655,,
482,1.5645,,
483,1.5634,,
484,1.5622,,
485,1.5608,,
486,1.5593,,
487,1.5576,,
488,1.5558,,
489,1.5539,,
490,1.5518,,
491,1.5496,,
492,1.5473,,
493,1.5449,,
494,1.5424,,
495,1.5397,,
496,1.5370,,
497,1.5342,,
498,1.5312,,
499,1.5282,,
500,1.5251,,
501,1.5219,,
502,1.5186,,
503,1.5153,,
504,1.5119,,
505,1.5085,,
506,1.5050,,
507,1.5014,,
508,1.4979,,
509,1.4942,,
510,1.4906,,
511,1.4869,,
512,1.4831,,
513,1.4794,,
514,1.4756,,
515,1.4718,,
516,1.4680,,
517,1.4642,,
518,1.4604,,
519,1.4566,,
520,1.4528,,
521,1.4490,,
522,1.4452,,
523,1.4415,,
524,1.4377,,
525,1.4340,,
526,1.4302,,
527,1.4266,,
528,1.4229,,
529,1.4193,,
530,1.4156,,
531,1.4121,,
532,1.4085,,
533,1.4050,,
534,1.4016,,
535,1.3981,,
536,1.3947,,
537,1.3914,,
538,1.3881,,
539,1.3848,,
540,1.3816,,
541,1.3784,,
542,1.3753,,
543,1.3722,,
544,1.3691,,
545,1.3662,,
546,1.3632,,
547,1.3603,,
548,1.3575,,
549,1.3547,,
550,1.3519,,
551,1.3492,,
552,1.3465,,
553,1.3439,,
554,1.3414,,
555,1.3388,,
556,1.3363,,
557,1.3339,,
558,1.3315,,
559,1.3292,,
560,1.3269,,
561,1.3246,,
562,1.3224,,
563,1.3202,,
564,1.3180,,
565,1.3159,,
566,1.3139,,
567,1.3118,,
568,1.3098,,
569,1.3078,,
570,1.3059,,
571,1.3040,,
572,1.3021,,
573,1.3003,,
574,1.2985,,
575,1.2967,,
576,1.2949,,
577,1.2932,,
578,1.2914,,
579,1.2897,,
580,1.2880,,
581,1.2864,,
582,1.2847,,
583,1.2831,,
584,1.2815,,
585,1.2799,,
586,1.2783,,
587,1.2767,,
588,1.2751,,
589,1.2736,,
590,1.2720,,
591,1.2705,,
592,1.2689,,
593,1.2674,,
594,1.2659,,
595,1.2644,,
596,1.2628,,
597,1.2613,,
598,1.2598,,
599,1.2583,,
600,1.2567,,
601,1.2552,,
602,1.2537,,
603,1.2521,,
604,1.2506,,
605,1.2490,,
606,1.2475,,
607,1.2459,,
608,1.2443,,
609,1.2427,,
610,1.2411,,
611,1.2395,,
612,1.2379,,
613,1.2363,,
614,1.2346,,
615,1.2330,,
616,1.2313,,
617,1.2296,,
618,1.2279,,
619,1.2262,,
620,1.2244,,
621,1.2226,,
622,1.2209,,
623,1.2190,,
624,1.2172,,
625,1.2154,,
626,1.2135,,
627,1.2116,,
628,1.2097,,
629,1.2078,,
630,1.2058,,
631,1.2038,,
632,1.2018,,
633,1.1997,,
634,1.1977,,
635,1.1956,,
636,1.1935,,
637,1.1913,,
638,1.1891,,
639,1.1869,,
640,1.1847,,
641,1.1824,,
642,1.1801,,
643,1.1778,,
644,1.1754,,
645,1.1730,,
646,1.1706,,
647,1.1682,,
648,1.1657,,
649,1.1632,,
650,1.1607,,
651,1.1581,,
652,1.1555,,
653,1.1529,,
654,1.1503,,
655,1.1476,,
656,1.1449,,
657,1.1422,,
658,1.1394,,
659,1.1366,,
660,1.1338,,
661,1.1310,,
662,1.1281,,
663,1.1253,,
664,1.1224,,
665,1.1194,,
666,1.1165,,
667,1.1135,,
668,1.1105,,
669,1.1075,,
670,1.1045,,
671,1.1015,,
672,1.0984,,
673,1.0954,,
674,1.0923,,
675,1.0892,,
676,1.0861,,
677,1.0829,,
678,1.0798,,
679,1.0767,,
680,1.0735,,
681,1.0704,,
682,1.0672,,
683,1.0641,,
684,1.0609,,
685,1.0577,,
686,1.0546,,
687,1.0514,,
688,1.0482,,
689,1.0451,,
690,1.0419,,
691,1.0387,,
692,1.0356,,
693,1.0324,,
694,1.0293,,
695,1.0261,,
696,1.0230,,
697,1.0199,,
698,1.0167,,
699,1.0136,,
700,1.0105,,
701,1.0074,,
702,1.0044,,
703,1.0013,,
704,0.9982,,
705,0.9952,,
706,0.9922,,
707,0.9892,,
708,0.9862,,
709,0.9832,,
710,0.9802,,
711,0.9772,,
712,0.9743,,
713,0.9714,,
714,0.9685,,
715,0.9656,,
716,0.9627,,
717,0.9598,,
718,0.9570,,
719,0.9541,,
720,0.9513,,
721,0.9485,,
722,0.9457,,
723,0.9430,,
724,0.9402,,
725,0.9374,,
726,0.9347,,
727,0.9320,,
728,0.9293,,
729,0.9266,,
730,0.9239,,
731,0.9212,,
732,0.9186,,
733,0.9159,,
734,0.9133,,
735,0.9107,,
736,0.9080,,
737,0.9054,,
738,0.9028,,
739,0.9003,,
740,0.8977,,
741,0.8951,,
742,0.8925,,
743,0.8900,,
744,0.8874,,
745,0.8849,,
746,0.8823,,
747,0.8798,,
748,0.8772,,
749,0.8747,,
750,0.8722,,
751,0.8697,,
752,0.8671,,
753,0.8646,,
754,0.8621,,
755,0.8596,,
756,0.8570,,
757,0.8545,,
758,0.8520,,
759,0.8495,,
760,0.8470,,
761,0.8444,,
762,0.8419,,
763,0.8394,,
764,0.8368,,
765,0.8343,,
766,0.8318,,
767,0.8292,,
768,0.8267,,
769,0.8242,,
770,0.8216,,
771,0.8191,,
772,0.8165,,
773,0.8140,,
774,0.8114,,
775,0.8089,,
776,0.8063,,
777,0.8037,,
778,0.8012,,
779,0.7986,,
780,0.7960,,
781,0.7934,,
782,0.7908,,
783,0.7883,,
784,0.7857,,
785,0.7831,,
786,0.7805,,
787,0.7779,,
788,0.7753,,
789,0.7727,,
790,0.7701,,
791,0.7675,,
792,0.7649,,
793,0.7623,,
794,0.7597,,
795,0.7571,,
796,0.7545,,
797,0.7519,,
798,0.7493,,
799,0.7467,,
800,0.7442,,
801,0.7416,,
802,0.7390,,
803,0.7364,,
804,0.7338,,
805,0.7313,,
806,0.7287,,
807,0.7261,,
808,0.7236,,
809,0.7210,,
810,0.7185,,
811,0.7159,,
812,0.7134,,
813,0.7109,,
814,0.7084,,
815,0.7059,,
