[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:4"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,900
Processed Frames,900
Valid Tracks,5585
Overall Drift (nm/s),625.91
X-Drift (nm/s),-89.62
Y-Drift (nm/s),619.46
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),285.00
Mean (E4 nm^2/s),603.23
Standard Deviation (E4 nm^2/s),329.64

User Line 1,205
User Line 2,588
Average # centres/frame,184.60
Average # particles/frame,147.86
Equivalent particle concentration (E8 particles/ml),23.01
Selected average # particles/frame,79.40
Selected equivalent particle concentration (E8 particles/ml),12.36

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,20
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),8.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),23.90
Viscosity (cP),0.911

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
276,3.8604,,
277,3.8695,,
278,3.8775,,
279,3.8843,,
280,3.8901,,
281,3.8948,,
282,3.8984,,
283,3.9009,,
284,3.9025,,
285,3.9030,,
286,3.9025,,
287,3.9011,,
288,3.8988,,
289,3.8956,,
290,3.8916,,
291,3.8867,,
292,3.8811,,
293,3.8747,,
294,3.8677,,
295,3.8600,,
296,3.8517,,
297,3.8430,,
298,3.8337,,
299,3.8240,,
300,3.8138,,
301,3.8034,,
302,3.7927,,
303,3.7817,,
304,3.7706,,
305,3.7594,,
306,3.7481,,
307,3.7368,,
308,3.7256,,
309,3.7145,,
310,3.7036,,
311,3.6929,,
312,3.6824,,
313,3.6724,,
314,3.6626,,
315,3.6533,,
316,3.6445,,
317,3.6361,,
318,3.6283,,
319,3.6210,,
320,3.6143,,
321,3.6083,,
322,3.6029,,
323,3.5981,,
324,3.5940,,
325,3.5905,,
326,3.5877,,
327,3.5856,,
328,3.5840,,
329,3.5831,,
330,3.5829,,
331,3.5832,,
332,3.5842,,
333,3.5857,,
334,3.5877,,
335,3.5902,,
336,3.5932,,
337,3.5967,,
338,3.6005,,
339,3.6048,,
340,3.6093,,
341,3.6141,,
342,3.6193,,
343,3.6246,,
344,3.6300,,
345,3.6357,,
346,3.6414,,
347,3.6473,,
348,3.6532,,
349,3.6591,,
350,3.6649,,
351,3.6708,,
352,3.6764,,
353,3.6820,,
354,3.6875,,
355,3.6928,,
356,3.6979,,
357,3.7028,,
358,3.7074,,
359,3.7118,,
360,3.7158,,
361,3.7196,,
362,3.7231,,
363,3.7262,,
364,3.7290,,
365,3.7314,,
366,3.7334,,
367,3.7350,,
368,3.7362,,
369,3.7370,,
370,3.7373,,
371,3.7372,,
372,3.7367,,
373,3.7357,,
374,3.7342,,
375,3.7322,,
376,3.7298,,
377,3.7268,,
378,3.7234,,
379,3.7195,,
380,3.7151,,
381,3.7102,,
382,3.7048,,
383,3.6989,,
384,3.6925,,
385,3.6857,,
386,3.6784,,
387,3.6705,,
388,3.6623,,
389,3.6535,,
390,3.6444,,
391,3.6347,,
392,3.6247,,
393,3.6143,,
394,3.6035,,
395,3.5923,,
396,3.5808,,
397,3.5689,,
398,3.5567,,
399,3.5443,,
400,3.5316,,
401,3.5187,,
402,3.5056,,
403,3.4922,,
404,3.4787,,
405,3.4651,,
406,3.4513,,
407,3.4375,,
408,3.4236,,
409,3.4097,,
410,3.3958,,
411,3.3818,,
412,3.3680,,
413,3.3542,,
414,3.3404,,
415,3.3268,,
416,3.3133,,
417,3.2999,,
418,3.2868,,
419,3.2738,,
420,3.2610,,
421,3.2484,,
422,3.2360,,
423,3.2239,,
424,3.2120,,
425,3.2004,,
426,3.1890,,
427,3.1780,,
428,3.1672,,
429,3.1567,,
430,3.1464,,
431,3.1365,,
432,3.1268,,
433,3.1174,,
434,3.1084,,
435,3.0995,,
436,3.0910,,
437,3.0827,,
438,3.0747,,
439,3.0670,,
440,3.0596,,
441,3.0523,,
442,3.0454,,
443,3.0387,,
444,3.0322,,
445,3.0259,,
446,3.0199,,
447,3.0141,,
448,3.0084,,
449,3.0030,,
450,2.9978,,
451,2.9928,,
452,2.9879,,
453,2.9832,,
454,2.9787,,
455,2.9744,,
456,2.9702,,
457,2.9662,,
458,2.9623,,
459,2.9586,,
460,2.9551,,
461,2.9517,,
462,2.9484,,
463,2.9453,,
464,2.9423,,
465,2.9395,,
466,2.9368,,
467,2.9342,,
468,2.9318,,
469,2.9295,,
470,2.9274,,
471,2.9253,,
472,2.9235,,
473,2.9217,,
474,2.9201,,
475,2.9186,,
476,2.9173,,
477,2.9160,,
478,2.9149,,
479,2.9140,,
480,2.9131,,
481,2.9124,,
482,2.9118,,
483,2.9113,,
484,2.9109,,
485,2.9107,,
486,2.9105,,
487,2.9105,,
488,2.9105,,
489,2.9107,,
490,2.9109,,
491,2.9112,,
492,2.9116,,
493,2.9121,,
494,2.9126,,
495,2.9132,,
496,2.9138,,
497,2.9145,,
498,2.9152,,
499,2.9160,,
500,2.9167,,
501,2.9175,,
502,2.9182,,
503,2.9190,,
504,2.9197,,
505,2.9204,,
506,2.9211,,
507,2.9217,,
508,2.9223,,
509,2.9227,,
510,2.9231,,
511,2.9234,,
512,2.9237,,
513,2.9238,,
514,2.9238,,
515,2.9236,,
516,2.9234,,
517,2.9229,,
518,2.9224,,
519,2.9216,,
520,2.9207,,
521,2.9196,,
522,2.9183,,
523,2.9168,,
524,2.9151,,
525,2.9132,,
526,2.9111,,
527,2.9087,,
528,2.9062,,
529,2.9033,,
530,2.9003,,
531,2.8970,,
532,2.8934,,
533,2.8896,,
534,2.8855,,
535,2.8812,,
536,2.8765,,
537,2.8717,,
538,2.8665,,
539,2.8611,,
540,2.8554,,
541,2.8495,,
542,2.8433,,
543,2.8368,,
544,2.8301,,
545,2.8231,,
546,2.8159,,
547,2.8084,,
548,2.8006,,
549,2.7926,,
550,2.7844,,
551,2.7760,,
552,2.7673,,
553,2.7584,,
554,2.7492,,
555,2.7399,,
556,2.7304,,
557,2.7207,,
558,2.7109,,
559,2.7008,,
560,2.6906,,
561,2.6802,,
562,2.6697,,
563,2.6591,,
564,2.6483,,
565,2.6374,,
566,2.6265,,
567,2.6154,,
568,2.6043,,
569,2.5931,,
570,2.5818,,
571,2.5705,,
572,2.5591,,
573,2.5477,,
574,2.5363,,
575,2.5249,,
576,2.5135,,
577,2.5022,,
578,2.4908,,
579,2.4795,,
580,2.4682,,
581,2.4570,,
582,2.4459,,
583,2.4348,,
584,2.4238,,
585,2.4129,,
586,2.4022,,
587,2.3915,,
588,2.3809,,
589,2.3705,,
590,2.3602,,
591,2.3501,,
592,2.3401,,
593,2.3302,,
594,2.3206,,
595,2.3110,,
596,2.3017,,
597,2.2925,,
598,2.2836,,
599,2.2748,,
600,2.2662,,
601,2.2578,,
602,2.2496,,
603,2.2416,,
604,2.2338,,
605,2.2262,,
606,2.2188,,
607,2.2117,,
608,2.2048,,
609,2.1980,,
610,2.1915,,
611,2.1852,,
612,2.1791,,
613,2.1732,,
614,2.1675,,
615,2.1621,,
616,2.1568,,
617,2.1518,,
618,2.1470,,
619,2.1424,,
620,2.1379,,
621,2.1337,,
622,2.1297,,
623,2.1258,,
624,2.1222,,
625,2.1187,,
626,2.1155,,
627,2.1124,,
628,2.1095,,
629,2.1067,,
630,2.1041,,
631,2.1017,,
632,2.0994,,
633,2.0973,,
634,2.0953,,
635,2.0934,,
636,2.0917,,
637,2.0902,,
638,2.0887,,
639,2.0874,,
640,2.0862,,
641,2.0850,,
642,2.0840,,
643,2.0831,,
644,2.0823,,
645,2.0816,,
646,2.0809,,
647,2.0803,,
648,2.0798,,
649,2.0793,,
650,2.0789,,
651,2.0786,,
652,2.0783,,
653,2.0780,,
654,2.0777,,
655,2.0775,,
656,2.0774,,
657,2.0772,,
658,2.0770,,
659,2.0769,,
660,2.0768,,
661,2.0766,,
662,2.0765,,
663,2.0763,,
664,2.0762,,
665,2.0760,,
666,2.0758,,
667,2.0756,,
668,2.0753,,
669,2.0750,,
670,2.0747,,
671,2.0743,,
672,2.0739,,
673,2.0735,,
674,2.0730,,
675,2.0725,,
676,2.0719,,
677,2.0712,,
678,2.0705,,
679,2.0698,,
680,2.0689,,
681,2.0681,,
682,2.0671,,
683,2.0661,,
684,2.0650,,
685,2.0639,,
686,2.0627,,
687,2.0614,,
688,2.0601,,
689,2.0586,,
690,2.0572,,
691,2.0556,,
692,2.0540,,
693,2.0523,,
694,2.0505,,
695,2.0486,,
