#U/V    I/µA
-4.03   -68.1
-3.76   -63.5
-3.50   -59.0
-3.25   -54.7
-3.00   -50.4
-2.75   -46.1
-2.49   -44.6
-2.23   -37.2
-2.01   -33.4
-1.74   -29.1
-1.50   -25.2
-1.25   -21.4
-1.00   -17.4
-0.77   -13.9
-0.48   -9.3
-0.24   -5.2
0.00    -0.1
0.16    4.1
0.23    6.1
0.49    15.6
0.77    30.2
1.01    48.0
1.23    67.9
1.48    98.1
1.74    138.1
2.00    194.8
2.24    262.5
2.48    357.4
2.75    511.8
3.00    720
3.25    1038
3.50    1517
3.75    2280
4.01    3575

