#U/V    I/µA
-3.99   -1338
-3.53   -1315
-3.00   -1283
-2.47   -1252
-1.99   -1222
-1.50   -1197
-1.00   -1162
-0.49   -1094
-0.01   -1010
0.13    -980
0.53    -924
0.75    -871
1.02    -827
1.52    -742
2.02    -653
2.54    -568
3.01    -375
3.20    -192
3.25    -122
3.30    -59
3.34    -4.2
3.35    11.3
3.40    87.5
3.45    179
3.49    267
3.55    394
3.60    531
3.70    804
3.80    1159
3.91    1614
4.00    2107
