Kristallwinkel	Rate bei 15kV	Rate bei 17kV	Rate bei 19kV	Rate bei 21kV	Rate bei 23kV	Rate bei 25kV	Rate bei 27kV	Rate bei 29kV	Rate bei 31kV
theta/°	R(15kV)/Imp/s	R(17kV)/Imp/s	R(19kV)/Imp/s	R(21kV)/Imp/s	R(23kV)/Imp/s	R(25kV)/Imp/s	R(27kV)/Imp/s	R(29kV)/Imp/s	R(31kV)/Imp/s

10,9	0,0	10,0	29,0	50,0	70,0	97,0	107,0	121,0	138,0
11,0	0,0	16,0	51,0	69,0	85,0	115,0	145,0	169,0	184,0
11,1	0,0	13,0	39,0	62,0	72,0	110,0	119,0	135,0	153,0
11,2	2,0	18,0	47,0	60,0	77,0	107,0	131,0	147,0	175,0
11,3	0,0	14,0	40,0	58,0	80,0	114,0	123,0	143,0	154,0
11,4	0,0	18,0	36,0	70,0	73,0	98,0	132,0	125,0	147,0
11,5	1,0	34,0	50,0	74,0	106,0	118,0	156,0	193,0	209,0
11,6	0,0	19,0	47,0	62,0	87,0	104,0	130,0	144,0	182,0
11,7	0,0	25,0	49,0	71,0	100,0	125,0	130,0	149,0	157,0
11,8	2,0	29,0	40,0	64,0	87,0	104,0	145,0	147,0	162,0
11,9	3,0	29,0	53,0	62,0	78,0	101,0	110,0	149,0	150,0
12,0	4,0	35,0	65,0	85,0	117,0	142,0	159,0	174,0	220,0
12,1	5,0	35,0	57,0	75,0	88,0	112,0	140,0	167,0	180,0
12,2	8,0	30,0	69,0	73,0	95,0	110,0	143,0	167,0	207,0
12,3	11,0	43,0	64,0	78,0	105,0	134,0	141,0	161,0	226,0
12,4	10,0	43,0	51,0	63,0	102,0	121,0	124,0	150,0	200,0
12,5	16,0	42,0	65,0	101,0	125,0	141,0	163,0	203,0	233,0
12,6	12,0	36,0	61,0	93,0	102,0	136,0	134,0	169,0	212,0
12,7	24,0	43,0	62,0	101,0	116,0	140,0	164,0	214,0	237,0
12,8	21,0	48,0	67,0	95,0	120,0	140,0	156,0	188,0	223,0
12,9	20,0	49,0	70,0	93,0	126,0	134,0	160,0	187,0	224,0
13,0	16,0	56,0	81,0	99,0	126,0	158,0	172,0	199,0	223,0
13,1	24,0	49,0	70,0	97,0	125,0	150,0	158,0	172,0	253,0
13,2	27,0	53,0	64,0	98,0	112,0	127,0	154,0	165,0	197,0
13,3	18,0	43,0	71,0	95,0	96,0	121,0	128,0	170,0	218,0
13,4	28,0	51,0	70,0	92,0	98,0	122,0	149,0	168,0	199,0
13,5	20,0	51,0	62,0	97,0	107,0	127,0	151,0	190,0	197,0
13,6	15,0	43,0	57,0	80,0	107,0	117,0	130,0	162,0	178,0
13,7	28,0	41,0	60,0	69,0	93,0	107,0	135,0	146,0	179,0
13,8	18,0	43,0	57,0	74,0	94,0	103,0	127,0	161,0	161,0
13,9	25,0	45,0	58,0	71,0	81,0	102,0	121,0	141,0	153,0
14,0	25,0	30,0	60,0	65,0	87,0	82,0	129,0	134,0	154,0
14,1	25,0	38,0	51,0	75,0	85,0	98,0	120,0	143,0	162,0
14,2	28,0	40,0	69,0	74,0	80,0	104,0	123,0	145,0	167,0
14,3	25,0	40,0	62,0	75,0	99,0	117,0	128,0	144,0	171,0
14,4	19,0	38,0	57,0	72,0	88,0	96,0	125,0	149,0	161,0
14,5	28,0	42,0	59,0	70,0	80,0	98,0	114,0	139,0	167,0
14,6	28,0	42,0	55,0	66,0	84,0	0,0	118,0	155,0	154,0
14,7	25,0	36,0	59,0	67,0	84,0	93,0	117,0	129,0	161,0
14,8	20,0	37,0	52,0	64,0	63,0	88,0	131,0	130,0	164,0
14,9	33,0	37,0	61,0	69,0	82,0	98,0	128,0	127,0	158,0
15,0	32,0	36,0	42,0	53,0	87,0	89,0	112,0	125,0	162,0
15,1	28,0	35,0	56,0	73,0	83,0	105,0	120,0	159,0	145,0
15,2	30,0	42,0	51,0	60,0	84,0	97,0	122,0	151,0	159,0
15,3	27,0	45,0	56,0	71,0	85,0	96,0	112,0	132,0	157,0
15,4	32,0	49,0	53,0	62,0	77,0	82,0	125,0	128,0	156,0
15,5	23,0	42,0	54,0	68,0	75,0	96,0	118,0	133,0	132,0
15,6	24,0	36,0	54,0	62,0	71,0	95,0	104,0	125,0	149,0
15,7	27,0	45,0	52,0	57,0	76,0	94,0	107,0	134,0	142,0
15,8	29,0	43,0	50,0	63,0	73,0	91,0	107,0	122,0	137,0
15,9	26,0	37,0	51,0	48,0	76,0	103,0	109,0	122,0	142,0
16,0	29,0	40,0	49,0	55,0	73,0	86,0	103,0	136,0	134,0
16,1	24,0	39,0	41,0	52,0	73,0	94,0	99,0	126,0	134,0
16,2	23,0	40,0	48,0	55,0	62,0	93,0	107,0	126,0	151,0
16,3	20,0	30,0	45,0	57,0	70,0	87,0	108,0	123,0	136,0
16,4	25,0	38,0	44,0	52,0	64,0	77,0	104,0	120,0	143,0
16,5	25,0	34,0	51,0	61,0	66,0	93,0	90,0	128,0	128,0
16,6	24,0	30,0	45,0	54,0	72,0	89,0	95,0	107,0	128,0
16,7	30,0	37,0	46,0	50,0	57,0	90,0	117,0	110,0	134,0
16,8	22,0	27,0	49,0	49,0	72,0	91,0	90,0	113,0	110,0
16,9	25,0	41,0	34,0	49,0	65,0	90,0	113,0	128,0	137,0
17,0	21,0	30,0	37,0	54,0	76,0	83,0	91,0	108,0	116,0
17,1	30,0	38,0	42,0	40,0	56,0	86,0	95,0	110,0	117,0
17,2	23,0	29,0	41,0	45,0	59,0	79,0	86,0	105,0	114,0
17,3	28,0	29,0	37,0	40,0	65,0	73,0	94,0	100,0	111,0
17,4	22,0	37,0	37,0	39,0	58,0	84,0	93,0	119,0	125,0
17,5	19,0	24,0	47,0	48,0	66,0	88,0	87,0	108,0	119,0
17,6	24,0	27,0	39,0	48,0	57,0	85,0	88,0	106,0	118,0
17,7	19,0	24,0	32,0	43,0	64,0	75,0	91,0	110,0	105,0
17,8	22,0	32,0	35,0	40,0	65,0	70,0	92,0	96,0	106,0
17,9	24,0	28,0	40,0	49,0	55,0	78,0	89,0	104,0	125,0
18,0	22,0	27,0	33,0	49,0	62,0	61,0	75,0	105,0	123,0
18,1	22,0	25,0	31,0	47,0	49,0	75,0	81,0	102,0	111,0
18,2	13,0	26,0	26,0	47,0	51,0	74,0	86,0	112,0	109,0
18,3	20,0	23,0	33,0	47,0	51,0	67,0	98,0	92,0	111,0
18,4	19,0	19,0	30,0	49,0	60,0	77,0	87,0	99,0	110,0
18,5	24,0	24,0	32,0	35,0	59,0	69,0	66,0	87,0	101,0
18,6	21,0	18,0	31,0	39,0	49,0	67,0	81,0	97,0	110,0
18,7	23,0	19,0	28,0	45,0	57,0	69,0	76,0	102,0	109,0
18,8	12,0	28,0	33,0	45,0	62,0	69,0	81,0	93,0	113,0
18,9	22,0	26,0	27,0	43,0	61,0	83,0	85,0	103,0	106,0
19,0	18,0	27,0	30,0	37,0	56,0	73,0	76,0	87,0	102,0
19,1	19,0	19,0	23,0	44,0	62,0	71,0	79,0	96,0	110,0
19,2	15,0	13,0	26,0	37,0	54,0	72,0	65,0	89,0	117,0
19,3	18,0	21,0	18,0	47,0	53,0	64,0	67,0	90,0	111,0
19,4	20,0	24,0	24,0	40,0	53,0	70,0	76,0	100,0	107,0
19,5	19,0	17,0	29,0	36,0	52,0	67,0	74,0	92,0	114,0
19,6	15,0	14,0	32,0	42,0	48,0	67,0	71,0	90,0	90,0
19,7	15,0	21,0	25,0	35,0	57,0	55,0	76,0	95,0	112,0
19,8	14,0	15,0	23,0	35,0	51,0	60,0	79,0	82,0	85,0
19,9	9,0	20,0	30,0	38,0	64,0	66,0	76,0	83,0	96,0
20,0	9,0	19,0	29,0	37,0	52,0	57,0	65,0	83,0	83,0
20,1	10,0	16,0	25,0	38,0	48,0	67,0	76,0	92,0	89,0
20,2	11,0	15,0	28,0	40,0	52,0	64,0	63,0	66,0	90,0
20,3	17,0	14,0	25,0	37,0	47,0	58,0	59,0	74,0	86,0
20,4	16,0	0,0	22,0	33,0	47,0	58,0	70,0	82,0	95,0
20,5	10,0	15,0	29,0	33,0	43,0	64,0	67,0	78,0	83,0
20,6	10,0	13,0	30,0	37,0	46,0	51,0	64,0	78,0	101,0
20,7	13,0	18,0	24,0	34,0	45,0	64,0	69,0	81,0	82,0
20,8	10,0	17,0	19,0	33,0	44,0	59,0	56,0	72,0	83,0
20,9	13,0	13,0	27,0	37,0	46,0	59,0	67,0	74,0	86,0
21,0	15,0	14,0	24,0	34,0	38,0	48,0	61,0	67,0	80,0
21,1	11,0	14,0	26,0	35,0	41,0	51,0	70,0	73,0	78,0
21,2	9,0	11,0	20,0	24,0	42,0	55,0	57,0	66,0	68,0
21,3	8,0	8,0	27,0	26,0	34,0	46,0	66,0	68,0	86,0
21,4	10,0	14,0	21,0	37,0	45,0	58,0	59,0	65,0	83,0
21,5	12,0	13,0	33,0	30,0	44,0	44,0	63,0	71,0	84,0
21,6	8,0	9,0	25,0	29,0	42,0	52,0	61,0	74,0	85,0
21,7	10,0	14,0	20,0	31,0	38,0	51,0	61,0	66,0	72,0
21,8	9,0	21,0	21,0	33,0	47,0	50,0	68,0	61,0	60,0
21,9	6,0	8,0	24,0	38,0	37,0	44,0	63,0	66,0	70,0
22,0	4,0	15,0	18,0	29,0	36,0	41,0	52,0	66,0	83,0
22,1	10,0	15,0	22,0	29,0	36,0	48,0	58,0	66,0	81,0
22,2	10,0	11,0	25,0	39,0	35,0	54,0	51,0	74,0	78,0
22,3	8,0	21,0	27,0	33,0	40,0	49,0	60,0	55,0	81,0
22,4	6,0	14,0	22,0	32,0	43,0	45,0	47,0	68,0	69,0
22,5	7,0	11,0	21,0	31,0	34,0	53,0	50,0	65,0	77,0
22,6	8,0	20,0	29,0	35,0	49,0	54,0	64,0	77,0	95,0
22,7	6,0	15,0	30,0	38,0	46,0	54,0	63,0	74,0	78,0
22,8	5,0	17,0	21,0	33,0	34,0	44,0	55,0	61,0	67,0
22,9	8,0	14,0	21,0	30,0	33,0	47,0	57,0	62,0	66,0
23,0	5,0	14,0	19,0	26,0	37,0	34,0	55,0	62,0	58,0
23,1	6,0	12,0	23,0	24,0	32,0	46,0	50,0	54,0	54,0
23,2	5,0	8,0	17,0	26,0	43,0	46,0	44,0	59,0	70,0
23,3	5,0	14,0	21,0	25,0	35,0	34,0	42,0	62,0	61,0
23,4	8,0	14,0	21,0	28,0	39,0	37,0	42,0	54,0	54,0
23,5	7,0	11,0	22,0	26,0	26,0	40,0	47,0	60,0	59,0
23,6	6,0	11,0	18,0	24,0	34,0	35,0	57,0	52,0	58,0
23,7	6,0	10,0	17,0	27,0	39,0	42,0	43,0	56,0	52,0
23,8	6,0	13,0	14,0	23,0	31,0	40,0	48,0	54,0	53,0
23,9	6,0	11,0	16,0	24,0	30,0	41,0	44,0	42,0	65,0
24,0	7,0	9,0	16,0	26,0	35,0	38,0	48,0	46,0	57,0
24,1	6,0	10,0	19,0	22,0	31,0	39,0	41,0	44,0	49,0
24,2	1,0	12,0	16,0	29,0	23,0	36,0	33,0	45,0	46,0
24,3	3,0	10,0	16,0	16,0	27,0	32,0	42,0	41,0	48,0
24,4	4,0	8,0	19,0	22,0	24,0	35,0	42,0	49,0	47,0
24,5	4,0	12,0	16,0	23,0	29,0	36,0	39,0	50,0	55,0
24,6	5,0	12,0	13,0	24,0	30,0	31,0	36,0	47,0	50,0
24,7	5,0	7,0	18,0	21,0	21,0	29,0	38,0	51,0	50,0
24,8	6,0	9,0	11,0	25,0	28,0	31,0	39,0	42,0	41,0
24,9	3,0	12,0	17,0	19,0	26,0	28,0	34,0	47,0	53,0
25,0	2,0	8,0	14,0	16,0	25,0	34,0	38,0	41,0	45,0
25,1	4,0	14,0	18,0	14,0	17,0	33,0	38,0	41,0	49,0
25,2	7,0	12,0	16,0	24,0	29,0	34,0	34,0	42,0	48,0
25,3	3,0	12,0	18,0	20,0	22,0	29,0	44,0	46,0	43,0
25,4	4,0	13,0	17,0	17,0	22,0	26,0	32,0	43,0	47,0
25,5	6,0	12,0	16,0	23,0	24,0	31,0	29,0	38,0	45,0
25,6	6,0	10,0	19,0	17,0	29,0	27,0	35,0	39,0	51,0
25,7	7,0	16,0	20,0	24,0	31,0	43,0	41,0	53,0	47,0
25,8	10,0	21,0	31,0	31,0	28,0	48,0	59,0	62,0	67,0
25,9	56,0	75,0	103,0	132,0	155,0	193,0	198,0	239,0	278,0
26,0	55,0	98,0	100,0	129,0	180,0	216,0	263,0	295,0	337,0
26,1	28,0	54,0	71,0	82,0	105,0	133,0	158,0	199,0	220,0
26,2	8,0	16,0	22,0	26,0	31,0	44,0	54,0	61,0	68,0
26,3	7,0	14,0	17,0	27,0	34,0	29,0	35,0	49,0	52,0
26,4	5,0	15,0	18,0	17,0	25,0	32,0	44,0	44,0	42,0
26,5	7,0	10,0	17,0	18,0	26,0	34,0	35,0	49,0	41,0
